Timestamp,Your ID/alias,What do you think happened is video?,What do you think happened in this video?,What do you think happened in this video? ,What do you think happened in this video? ,What do you think happened in this video?,What do you think happened in this video?
11/16/2016 10:31:00,Captain Jack Sparrow,The two triangles is helping each other to get out of the square.,What just happend?,"The small triangle is following the big triangle, but each time the big triangle turns around to see if anyone is chasing it, the small triangle turns away and stand still. ",The triangles has to touch the wall in an special kind of angle to get out of the square. ,The big triangle is chasing the small triangle into the square. It will not let the small triangle out of the square again so the small triangle tries to tickle the big triangle so it moves so the small triangle can run out of the square. ,"No, no idea at all... "
11/16/2016 10:32:51,Tri9,The big triangle tried to get the small triangle out of the box.,The triangles bounced from side to side.,"The small triangle follows the big triangle. The big triangle doesn't know in the beginning, but as they move around it notices. In the end it tells the small triangle to stop.",The triangles bounce around,"This time the big triangle tries to get the small triangle inside the box. It succeeds in the beginning, but suddenly the small triangle escapes because the big triangle goes into the box. Afterwards the big triangle cant find the small triangle.","The triangles bounce around, this time around the box."
11/16/2016 10:33:06,Hinni,The two triangles were kind of playing a game. The kept circleing around each other but they also kind of pushed each other out of where they were playing,The two triangles are bouncing back and forth in the square. They have no power of where their movements are going,The two triangles were following each other. and one got annoyed by the other,they are bouncing randomly around in the square. in the end they disappear from the sqaure ,The big triangle traps the little one inside the little square. The little try to get out. but can't. In the end it fools the big one and gets out of the square,The triangles have no self control and bounce around in the big square 
11/16/2016 10:34:16,Anubis,"The big triangle pushed the small triangle out of the box, because the little triangle couldn't get out be it self.",The two triangles drifted from side to side above and under over the box in the middle. Super random...,"The small triangle tries to touch the larger triangle. They are both sort of ""blinking"". In the end the small touched the larger and the smaller fly out of the box/arena.",Both triangles are drifting somewhat randomly around inside this white arena. They are being bounced back whenever they hit the walls of the arena. ,"The smaller triangle tries to get out of the smaller box with an opening in the middle. However, the big triangle bloks the way. The big triangle it really stupid and goes into the box, and the small one gets out.",Now they are just fucking randomly drifting around the small box in the middle. They can't ever fucking touch each other.. sad. 
11/16/2016 10:35:57,Greven,"The two triangles are fighting and the big one breaks the wall of the square, so it can push out the little triangle and it wont let the little triangle in again",the two triangles are bouncing from left to right and right to left through the video. They are pointing in different directions and at last they are disappearing out of the picture,The little triangle is shadowing and following the big triangle. The big one is turning around sometimes because it is aware of something is happening behind him. The two first times he did'nt notice anything but the last time the little triangle mistakely run into the big one and then it is running away.  ,the triangles are bouncing at the walls in diagonal lines through the film. They do not run into eachother but are just moving around until they finally disappears ,"The big triangle cought the little triangle in the square. Now, the little triangle tryes to break out of the square but cant. finally, the little triangle is trying to be nice and are friendly to the big one and then the big one is unaware of his goal of keep the little triangle in the box, and then the little triangle flees out of its cage,",The two triangles are bouncing into the walls and then against the square in the middle. they are moving in different direction and are not clashing into eachother
11/16/2016 10:36:08,41253457,the triangles had a fight,The triangles were bouncing from one side of the space to another. ,The small triangle was shadowing the big one and got caught in the end and then it just ran away. ,The triangles were bouncing from the walls and they just kept moving until the hit the wall again and so on. ,The small triangle was held as a hostage by the big red triangle. The small triangle was trying to escape but didn't seem to succeed in that but then they got into a fight and somehow the small triangle was able to runaway. ,The triangles were just bouncing from the walls and they just kept moving. 
11/16/2016 10:37:40,455,Two triangles move around. One is a small black one and the other is a big red one. They start off in some kind of square in an opening. It seems like there is some kind of story going on. Sometimes the triangles seem to play with each other. The large red triangle could be a picture on a mother and the small one on a child. Then it would seem like the mother triangle is trying to help the child leave the enclosure.,There are two triangles. A big one and a small one. The triangles move from side to side. When they hit the wall they alter their orientation. They stay on their side of the screen. In the middle there is an incomplete square which seem to have no important role in the video as it doesn't affect the triangles movement.,"There is two triangles. A big red one a and small black one. The red triangle is moving around and the little black triangle seem to be following the big one. When the big one has moved a certain distance it seems like it is turning around and ""looking"" at the small triangle which looks away. This happens a couple of times. The last time it seems like the big triangle ""yells"" at the small triangle which then ""leaves""",The two triangles (a big red one and a small black one) bounce from wall to wall altering their orientation each time they hit the wall. They are at some points very close to each other and almost colide.,The big red triangle pushes the small black triangle into the square and seals the exit. The black triangle tries to force its way out but is unsuccesfull. The it seems like it is stroking the red triangle which then leads to the red triangle removing the blockage. The black triangle then 'escapes',The black and red triangle bounces back and forth between the square in the middle and the edge of the screen. They move around the square in the middle in different direction. They never hit each other.
11/16/2016 10:37:44,Illuminati,"The little triangle is scared or nervous to go outside the square. The big triangle, which I think is the mother of the little triangle, is trying to help it get out. First she is showing it how it is, and that it is not dangerous, then she goes back inside and try to drag and push the little triangle out. They go around, forth and back a couple of times, and finally the little triangle goes out of the square. It looks like they are happy and dancing when they get out. ","Both the little and the big triangle are sliding from side to side in the square. It looks like they are playing, and the small triangle is imitating the big one. ","The big triangle is jumping around the square. The little triangle is teasing the big one, by following after right after it. But every time the big triangle turns around to look, the little triangle looks away pretending nothing is happening. Then finally the big triangle catches the little one in following it, and the little triangle quickly runs away. ","The little and the big triangle are sliding around the square. It looks like they dont control themselves where they are going, they are just being pushed around by the walls. Maybe they are sleeping. ","The big triangle is trying to keep the little triangle inside the square, by covering the exit. The little one is trying to get out, by pushing the big triangle. Finally the little one cheats the big one. It goes into a corner and pretend it is crying, so the big triangle comes to calm it down. Then the little triangle quickly run out. The big one follows and looks for the little one, but it can't find it. ","Both the little and the big triangle are sliding around. In the middle is a small scare with an opening in it, but they don't go inside it. It looks like they don't control themselves where they are going, they are just bouncing against the walls. I think they are sleeping. "
11/16/2016 10:39:31,Madhatter,The big triangle wanted to go outside the box with the little triangle. However the little triangle was scared and tried to avoid getting out of the box. Finally the big triangle forced the little triangle out and made sure it could not go back in the box.,the triangle moved from side to side on each side of the box. Every time they hit a wall they changed direction until they went trough the wall.,The little triangle followed the big triangle. When the big triangle turned around the little triangle stopped. This repeated itself until the little triangle left. ,the two triangles moved randomly in the box. Every time the hit a wall they would change directory until they went out of the screen.,the big triangle pushed the little one into the box and blocked its way so it could not get out. finally the little triangle got out and left the screen.,"the two triangle moved randomly, changed direction every time they met an obstacle."
11/16/2016 10:40:09,Mogens Camre,"The big red triangle tried to get the small black triangle out of the door. The black one didn't want to tried to get them both to stay inside. They did many small 'dances' around each other, but in the end the red triangle pushed the black one out and blocked the door.",The two triangles were moving from one end of the room to the other on opposite sides of the square in the middle. They might have been racing each other. The red triangle was the fastest.,"The black triangle followed the red one around the room. The black triangle didn't want the red one to know it was being followed, so whenever the red one turned around, the black one looked the other way. When the red one started moving again, so did the black. In the end red triangle catches the black one imitating it, and the black one runs away.","The two triangles were bouncing around the room. Whenever they hit a corner they would change direction according to the angle with which they hit it. The triangles didn't seem to interact in any way, they just slid off when they hit each other.","The triangles started out in the bottom looking like they were making out. The black triangle rushed into the house-like square and tried to get the red one to follow it. The red triangle stood in the door for a long time, but after caressing it, it came in. As soon as the red triangle came in, the black one bolted off. The red one moved out the square and looked around confused, trying to find the black one.",The triangles were once again bouncing  around the room. Whenever they hit a wall they would change direction according to the angle with which they hit it. 
11/16/2016 10:40:12,Mogens Camre,"The big red triangle tried to get the small black triangle out of the door. The black one didn't want to tried to get them both to stay inside. They did many small 'dances' around each other, but in the end the red triangle pushed the black one out and blocked the door.",The two triangles were moving from one end of the room to the other on opposite sides of the square in the middle. They might have been racing each other. The red triangle was the fastest.,"The black triangle followed the red one around the room. The black triangle didn't want the red one to know it was being followed, so whenever the red one turned around, the black one looked the other way. When the red one started moving again, so did the black. In the end red triangle catches the black one imitating it, and the black one runs away.","The two triangles were bouncing around the room. Whenever they hit a corner they would change direction according to the angle with which they hit it. The triangles didn't seem to interact in any way, they just slid off when they hit each other.","The triangles started out in the bottom looking like they were making out. The black triangle rushed into the house-like square and tried to get the red one to follow it. The red triangle stood in the door for a long time, but after caressing it, it came in. As soon as the red triangle came in, the black one bolted off. The red one moved out the square and looked around confused, trying to find the black one.",The triangles were once again bouncing  around the room. Whenever they hit a wall they would change direction according to the angle with which they hit it. 
11/16/2016 10:42:16,lunge,"The two triangles were interacting with each other both within and outside of a square with one side that has an opening. At the start, the small triangle navigates around the large one, and then they connect the their points and spin around. The large triangle then exits the square, and then returns. The triangle spin together again, after which the large triangle seems to try and manipulate and push the small triangle out of the square. It seems as though the small triangle was almost annoying or harassing the large triangle, or that they were playing together. ","In this video the triangles stay relatively parallel from each other, on either side of the square with the opening. Both triangles are navigating horizontally from side to side, never touching one another. The small triangle is at the top, and the large triangle is underneath the square in the middle. The small triangle also moves slightly faster than the large triangle. The triangles hit the corners and edges of the screen at different angles, so they seem to bounce off the walls, but they do not navigate in extreme angles. ","In this video the large red triangle appears to be navigating in a relaxed manner around the screen following the rectangular formation. As the red triangle moves further up, the small triangle appears in the bottom of the screen and starts following behind the large triangle. The small triangle appears to be ghosting the red triangle, and having fun teasing it. Occasionally, the red triangle will stop, and turn around to look behind it, in which the small triangle freezes, so as not to give itself away. This continues until the large red triangle catches the small triangle in the act, in which the small triangle promptly scatters away off the screen. ","In this video the two triangles seem to be floating around in the frame, bouncing off the edges of the screen. Neither triangle seems to control its movement, they both simply float in the direction of the angle in which they hit the corner or edge of the screen. The triangles do not touch or bounce off each other, although they come very close to touching on multiple occasions. At the very end, the triangles surpass the edge of the screen and float out of sight. ","In this video the large triangles seems to want to contain the small triangle within the square cage. Initially, both triangles are outside the square, but the large triangle pushes the small one in, and then blocks the entrance. The small triangle seems initially despondent, hiding in the corner, and trying to push its way out. Afterwards, it seems to tickle or annoy the large triangle enough o that it moves within the square cage, trying to push the small triangle back into a corner. However, the small triangle navigated around it, and escapes out of the square and out of the screen. The red triangle moves out of the square, looking for the small triangle, but after turing around a few times, seems to realise it lost it. ","As in a previous video, the two triangles seem to simply be floating around within the frame of the screen. However, this time, the square cage is also present in the middle of the frame. This means both triangles bounce off a lot more surfaces, simply floating in whatever direction is reactive to the angle they hit the wall or square. They navigate around the outside of the square, never managing to angle a bounce to enter it. Nor do the two triangles touch, although the float very close to each other at times. "
11/16/2016 10:42:31,bimmer,"There are two triangles in an open square, one big red triangle and one small black triangle. It seems as they try to pull or push each other out of the open square. First the small black triangle got the big red triangle out of the square, but it re-enters. In the end the big red triangle get the small one out and blocks the ""opening"" to the square. ","There is an open square in the center of the picture. In the upper part of the picture, a small black triangle bounces from side to side, and in the lower part of the picture a big red triangle bounces from side to side. In both cases, the bouncing seems rather random and uncontrollable. In the end of the video they both keep on going and exit the picture in the right side. ","A big red triangle is kind of making small jumps inside a big square. It goes counter clockwise around in the big square. A small black triangle enters the big square and starts following the big red triangle. It seems to be kind of a game for the small black triangle. Every time the big red triangle stops and turns against the small black triangle, the small one ""looks away"". This keep on happening. In the end the big red triangle turns towards the small black triangle and seem to ""yell"" at it. The small black triangle seems to get scared and hurries out of the picture. ","A big red triangle and a small black triangle is bouncing around in the picture. It seems a bit random which directions they bounce every time they hit the ""wall"" in the picture. In the end both the triangles continues in one bounce and exits the picture. ","An open square is placed in the center of the picture. A small black triangle and a big red triangle is placed in the bottom right corner of the picture. It seems as the small triangle is holding the big red triangle. Suddenly, the big red triangle ""pushes"" the small black triangle hard into the open square, whereafter it blocks the opening to the square. The small black triangle seems to panic and wanting to get out, so it comes close to the red triangle. Hereafter the small black triangle goes to a corner inside the open square. The red one follows it, and finally the small black square hurries out of the square and out of the picture. The big red triangle exits the open square and seems to be ""confused"" of there the little black triangle is. ","There is an open square in the center of the picture. A big red triangle and a small black triangle bounces around in the picture, outside of the open square. The bouncing seems random and uncontrollable. This continues throughout the video. "
11/16/2016 10:43:38,The Donald,I saw two triangles in an incomplete box. One of the triangles was big and one was small. The two danced around inside the box and then the big triangle urged the small one to come out of the box and dance. The small triangle was shy and therefore didn't want to come out and play. The big triangle then went inside the house to and forced the small triangle out. In the end the two of them was dancing happily outside the box.,The small and the big triangle was bouncing from side to side in the video. Each time they hit a side of they screen they were rotated about 10 degrees and this kept on going for the duration of the video. In the middle there was still the incomplete square and the small triangle was located over it while the big triangle was located below it.,"The big triangle was taking a walk. The small triangle sees this and mimics/follows the big triangle. When the big triangle tries to turn around and see what is happening behind it the small triangle looks away, pretending nothing happened. This goes on for one or two times until the big triangle discovers that the small triangle is following it and then the small triangle runs away.","The triangles are behaving like balls on a pool table. They are bouncing from each side of the screen onto the next, following laws which ball a pool table would follow. Though there is some few exceptions to this rule over the duration of the video.","The small triangle is held hostage by the big triangle inside the incomplete square. The big triangle is blocking the entrance so that the small triangle can't get out. The small triangle then tries to tickle the big triangle but it is then pushed back into the square and then it goes sulk in the corner. The big triangle goes to comfort it, but it was fooled! The little triangle escapes the big triangle and is now free!!","The triangels are behaving like ball on a pool table again. (I don't what is wrong with them, they used to be so lively? Maybe they are sick?)  They are bouncing from the sides of the screen into either another side of the screen of into the incomplete box in the middle. This goes on for the duration of the video."
11/16/2016 10:44:05,Sylte,"There were two triangles; a big red one and a small blue one. They were inside a square. There was an opening in the square. The blue triangle wanted to dance with the red one. So they did. Then the red triangle went outside of the square. The blue one didn't want it to leave, so it tried to pull it back. However, the red one went outside and it wanted the blue one to follow. The blue one was scared, it went into a corner for the square. The red one went into the square and gently pushed the blue one outside of the square. Once outside they performed their little dance again.  ","The red and the blue triangle were outside the square. The were on each side of the square, moving horisontal in the frame, always following each other. They moved right and left, bouncing of the side of the frame. They appeared to be trying to mirror each other, but it was unclear which one of them were the ""leader"" and who was the ""follower"". Everytime they bounced back from the frame, they spinned around a little. ","The red triangle was walking. The blue triangle appeared and wanted to follow the red one. It ran to it and mirrored the red ones walk. The red one noticed the blue one and turned around, looking at it for a while. Then it turned away and contiuned walking. The blue followed again. Accidently, the blue one walked into the red one, and the red one turned around, being angry with the blue one. The blue one got scared and ran off. ","The two triangles were bouncing randomly gainst the frame. They seemed to move independently from one another. A couple of times they were very, very close to culminate, but they never did. After some bouncing they flew off, outside the frame.","The two triangles were in the corner of the frame. They looked like they were arguing. The red triangle pushed the blue one into the square, blocking the exit, forcing it to stay inside the square. The blue one tried to break free, but the red one was too strong (and too big), so it went to the corner of the square, thinking and planing what to do. It then tried to approach the red one with a friendly attitude. It didn't help; the red one, still wouldn't move. The blue one went back to the corner, were it began to cry. The red one ran to it, checking if it was okay; then the blue one ran outside the sqaure, escaping. The red one tried to follow, but lost track of the blue one. It got mad (or maybe sad) ","Once again the trangles were bouncing against the frame of the video. This time the square was there again, so they were bouncing against that too. They were very, very close crashing into each other, but they never did. They just moved in the same space, but never directly interacting. "
11/16/2016 10:44:05,bob,The big red triangle tried to get the small triangle out but the only thing the small triangle wanted to do was kissing.(Meaning connecting) But then the big triangle managed to kick out the small one and rewarded it with the kiss. Then they were both happy and circled around.,"The small triangle was on the top, the red was in the bottom. They were both just bouncing around and their angle changed with each bounce. In the end they escaped and floated away in the same direction.","The red triangle was just walking slowly. Then the blue triangle came into the picture and started following the red one. When the red one turned around to check if someone was behind, the blue one acted as if it was doing something else. The blue did this twice, then on the thrid occasion it got busted but it just laughed, went away, stopped one more time before exiting, laughed again and then left.","Both triangles were just bouncing around. They never met. They might have been looking for the right spot, where they could leave the place and in the end they finally did it.","The big triangle tried to keep the small one inside the room. The small one tried to escape but couldn't find any way. Then it changed its strategie. It started to pet the big triangle, lured it into the room, then kissed it. When the big triangle went for another kiss, the small one just compassed it and escaped the room. Then escaped the place. And the red triangle was left alone and had no clue where the blue triangle went.","Both triangles were just bouncing around. They might have been searching the exit but they didn't find it. They were moving al around the place, they were close to each other but never met."
11/16/2016 10:45:05,Sten,"The little triangle was scared to leave home, but then the big ( adult) triangle pushed it out of the home, so that the little triangle could learn that it was not dangerous outside. When the little triangle got scared the big triangle came out to the little triangle to show that it would always help the little triangle, and they they were dancing and hugging. The story is about children leaving the safe nest and being brave enough to go into the world on their own.","First the big triangle would follow the moves of the little triangle but later the positions change, so now the little triangle will follow in the footsteps of the big triangle. ","This seemed to me as an analogue for behavement of siblings. The little triangle see the big triangle doing this really cool movement, and wants to do the same thing. So it copies the big triangels moves but try to hide that it is doing it, so the big triangle wont get mad, but then when the big triangle discovers that the little triangle is copying it, it yells at the small triangle and the small triangle yells back and runs away - probably in tears. ","I think this is an analogue for siblings getting closer as they get older, because though they might start out very differently, they have to confront the same challenges and have to deal with the samme difficult stages of youth ( the sides of the square) and so they grow closer and closer as their starting point in life provide them with the same backpack of similar experiences. ","So the little triangle is teasing the big triangle. The big triangle take revenge by using its bigger size to trap the little triangle. The little triangle tries to hit the big triangle so it will let it out, but it dosent work. Then the small triangle uses a different approach. It tickles the big triangle until it eases up, and then run to a corner and pretend to be crying. When the big triangle comes to comfort the small triangle, the small triangle runs out of the room and hides. ","I think this is an analogy for that siblings can go through their entire life without ever crossing each others paths when they have left home, but they are both to some degree marked by their experiences/childhood/past so they will circle around the same choices and decisions in life and just barely miss each other. "
11/16/2016 10:45:43,Batman,"Two triangles are inside an incomplete box, one small white triangle and one red larger triangle. The red triangle seems to suggest that the little white triangle ventures out of the hole in the box. The white triangle is unwilling to do this, so the red triangle pushes the white out of the box and blocks the entrance. When the white triangle has realized that it is not dangerous out there, they grab each other and do a dance.","Two triangles, one little white and one large red are on each side of an incomplete box. A very large box sorrounds them. The white one is above while the red one is below the box. They are moving horizontally back and forth, and hitting the walls of the large box, just like the old DVD logo that was bouncing off the walls of the tv screen. They continue to do this for the rest of the video.","A large red triangle is ""walking"" around inside a box. Suddenly a little white triangle enters the picture and starts following the red triangle and imitating its moves perfectly. The red triangle seems to notice that something is up and turns around, but when it turns the white triangle pretends to do nothing. This happens a couple of times until the white triangle accidentally bumps into the red one and it notices. The white triangle exits the frame.","A red and a white triangle, the red bigger than the white, bounce off the sides of a box. Imagine the old DVD logo, which you watched and hoped it would eventually hit a corner perfectly. These triangles act just like the logo. Except in the end when they suddenly move back and forth before exiting the frame.","A large red and a small white triangle are in the frame. In the frame is also an incomplete box (with a hole in the side). The big red triangle pushes the white triangle into the box and blocks the hole so that it cannot escape. The white triangle hits the red one to try and get out, but to no avail. It starts moving one of its edges up and down the red triangles side, and they eventually stand edge to edge. The little while triangle moves in the corner and the red follows, whereafter the white hurries out the box and exits the frame.","A small white and a big red triangle are outside a box with a hole in the side. They bounce aimlessly off the walls of the box and the outer frame of the video. This goes on for some time, whereafter the video stops."
11/16/2016 10:50:56,Shrek the Third,"The little black triangle and the large red triangle are inside a sort of box. The black triangle wants to play with the red triangle, but the red triangle doesn't really want to play with the black triangle. The black triangle tries to interact with the red triangle, and the red triangle tries to push the black triangle out of the box. It succeeds, but the black triangle still tries to play with the red triangle. Then I don't remember the ending.","The two triangles are drifting around, jumping back whenever they hit a wall. The black triangle is in the top of the big square and the red triangle is in the bottom. At some point it looks like the red square is sort of mimicking the black square but after a while it just looks random again. They never hit the smaller square in the middle and never enter it, but when they hit the walls of the larger square they don't really move in the direction they logically should have if they had hit the wall that way (like when they hit the wall with a corner first they should then hit the wall with the side and jump back out from that angle).","The red triangle is sort of walking around in the square. Then the black triangle comes out and starts following the red triangle. But every time the red triangle stops and looks around to see if it is being followed, the black triangle stops and looks away as to show ""no, I'm not following you"". This goes on for a while and then the black triangle pokes the red triangle. Now the red triangle knows it's being followed and they sort of chase each other until the black triangle disappears out of the larger square. ","The two triangles are floating around in the large square, bouncing off the walls when they hit them. The red square starts at the top and the black square starts at the bottom of the square. First, they float horizontally until they hit a wall and change direction. The two triangles never touch each other, as if they were floating in their own ""bubble"". They get really close at one point but still don't notice each other. In the end, they float out of the square, not regarding the walls that they previously bounced off of. ","There is a smaller square with an open wall inside the larger square where the two triangles also are. The two triangles are stuck together. The red triangle takes the black triangle inside the smaller square and the black square lets go. Then, the red square blocks the exit so that the black square can't get out. It tries to poke the red triangle but it doesn't work. It stops for a while, and then tries again, this time sort of stroking the red triangle. It works and the red triangle moves so that the exit is open. I can't exactly remember what happens next but I think the two squares sort of make up and dance around inside the smaller square. But then the black square disappears out of the larger square and it looks like the red triangle tries to follow it and thinks ""where did you go?"".","There is the smaller square with the open wall inside the larger square. The two triangles are floating around, bouncing of the walls of both the larger square and the smaller square. They never hit each other and never notice each other. It's like they're still in their own ""bubble"". Not much else is happening in the video."
11/16/2016 10:52:14,qwerty,"The two triangles seemed to be playing some kind of game at first where one of their corners touched and they spun around. Then the big triangle went outside the box for a short duration of time. After the big triangle had returned it pushed the little triangle out of the box. After the small triangle had wandered around for a little while, the big triangle came out and they played the game from the begining again.","So the two triangles were moving horizontally from one edge of the big box to the other, changing their orientation whenever they hit the wall. in the end of the video they went out of the screen even though it had seemed like the outer box was solid all through the video. The triangles movements seemed like some kinda reminded me of the bubbles on the pause screen of some computers.",The big triangle was pulsating and walked around the edges of the big box. Then the small triangle came in from the bottom screen and rushed after the big triangle. When it caught up it started mimicking the big triangle. Sometimes it would bump into the big triangle and the big triangle would turn around. At some point the big triangle had enough and seemed to get angry. The little triangle fled when the big triangle got angry.,"In this video the two triangles went all in on acting like pause screen bubbles, i.e. they they hit the edges of the big box, changed orientation and then bounced of the edge floating in a straight line until they hit another edge repeating the process. In the end they just flew straight through the edges of the box.","In this video, the big triangle pushed the little triangle into the box in the center and blocked the exit. The little triangle started to shake and tried to get out. At one point it was just shaking in the lower left corner. After it some time trying to get out it went to the upper left corner and started shaking there. The big triangle then approached it and also shook a little. Then suddenly, out of nowhere, the little triangle ran out of the box and out of the screen. The big triangle followed outside, but couldn't see/find the little triangle, as it had already left the screen.","In this video, the triangles again kept bouncing of the edges of the big box, the three main differences being that this time the center box was also there, giving them all new bounce opportunities, they slowed down towards the end of the video and they stayed inside the big box."
11/16/2016 10:52:42,1234,"In this video two triangles interact with one another inside a quadrant. The quadrant is complete exempt from a hole in the middle right line. The two pointy angles on the two triangles touch each other several times. One triangle is significantly bigger than the other. At some point the big triangle moves out of the box, but comes back and almost ""push"" the little triangle out of the quadrant- ","In this video two triangles are situated outside of the quadrant with the hole in the right side. throughout the video the two triangles moved a bit up and down, but otherwise just kept going horizontally, although in different ""rhythms"". ","This movie shoes two triangles moving in a rectangular space. They are different sizes, one bigger than the other, but otherwise equal in shape. they take turns ""following each other"" but mostly with the small one in front. The other one then follow  sonly with the pointy tail The n the end the blue / small triangle hurries out of the picture/video.","In this video there are 2 triangles, one bigger and one smaller one. In this video thy move in a confirmed space, and bounce off the wall when hit it, just like a tennis ball. or pool table where you may use the banter+?","In this movie there are two triangles one big and one small. There is also a quadrant with a hole in the right side, which the little triangle is trying to come out from. The big triangle blocks the little triangle's way out, but in the end the little triangle comes out.
","There are two triangles in this movie, one bigger one (red) and one smaller one (blue) there is also a quadrant in the middle which the two triangles are circling bouncing back and forth between the walls and the quadrant. The blue/small triangle is going clockwise and the red/ big triangle is going anti-clockwise"
11/16/2016 10:53:10,Wannabe,"There are two triangles inside a box. The small triangle asks the large triangle to dance, so they dance. After the dance the large triangle goes outside the box. The small triangles doesn't want to. The large triangle reenter the box and force/helps the small triangle out of the box. When the small triangle gets out of the box, the large triangle blocks the entrance. The small triangle likes to be outside the box, so they dance again. ","There are two triangles flying around inside a box. Between them there is another box but this box has an opening. The two triangles fly around, every time they hit the sides of the box which they are inside, they turn a bit. The purpose of flying around isn't clear. Do they want to enter the box or do they want to meet each other. ","Inside a box we see a large triangle which is moving around. Then appears a smaller triangle and it starts to imitate the large triangle. Being followed or imitated is not fun, so the large triangle turns around and confronts the small triangle. After having sone this a couple of times the large triangle, has had enough. Therefore it shouts at the small triangle, so it runs away. ","Inside a box there are two triangles. They are flying around and they never meet. The route they are flying shifts every time the hit the sides of the box. They are very close to meeting each other, but still so far away. ","This is the opposite of video 1. The large triangle pushes the small triangle into the box and blocks the exit. The small triangle really wants to go outside of the box. First it goes to the corner, then it tickles the large triangle. This works and they both go into the corner. The small triangle fools the large triangle and runs out of the box. Now the large triangle is confused, where did it go?","Two triangles flying around, might be in space. Every time they hit the box surrounding them or the box in the middle, they flip around. "
11/16/2016 10:54:13,Knud-Erik,"Two triangles, one big and one small, are in a box. The triangles join together at the top and start spinning around. The box has an opening that the big triangle uses to exit the box. A little later, it returns and the triangles start bumping into one another. In the end, the big triangle pushes the small one out of the box, after which they, once again, join together at the top and start spinning around, this time outside of the box.","The triangles are inside a bigger box. In the middle, there is a box that looks the one from the previous video, only it seems smaller. The triangles are sliding from side to side, often, though not always, rotating a few degrees when they hit one of the sides of the box. At the end of the video, the triangles slide through the right side of the box and dissappear from sight.","At the beginning, we see only the big triangle, moving around inside the box. However, after a few seconds, the small one emerges from one of the sides of the box, right behind the big triangle and starts following it closely. However, from time to time, the big triangle turns around, as if looking, making the small triangle also turn away, as if trying to hide the fact that it is following the big one. In the end, the small triangle bumps into the big one, making it turn around, shaking, as if angry. The small triangle then darts away, stops, and then also starts shaking, as if it is afraid.","The triangles are sliding around the box, seemingly randomly, hitting the corners and making slight rotations, changing their trajectory. The often come close to hitting each other, but never quite. At the end of the video, they slide through the sides of the box and dissappear off screen.","The big triangle pushes the small one into the small box with an opening on its right side. It blocks the opening, so that the small triangle can't escape. After unsuccesfully trying to get the big triangle to move by continuously bumping into it, the small triangle faces away and slides into a corner. After a short while, it slides back to the big triangle, touches it, and starts sliding up and down its side, perhaps tickling it. This seems to make the big triangle angry, and the small triangle is pushed into a corner of the box. However, it moves around the big triangle and manages to escape.",
11/16/2016 10:56:04,TC25,"A small, apprehensive, blue, isosceles triangle tries everything it can to not leave its square room whilst a bigger, red, isosceles triangle wants to leave with the blue triangle. The two triangles seem to get into a tussle with the blue triangle pulling on the red to stay in the room. They spin around trying to pull each other. Eventually the red triangle gets the blue triangle outside and blocks the entrance as to not let blue back in. They get into another spinning and pulling fight outside before the blue triangle concedes and stays outside. ","Two triangles bounce from side to side. One is a small blue triangle and the other is a larger red triangle. There is a square between then with part of a side missing indicating a door. The blue triangle is above the square and the red below. They appear to rotate about 30 degrees every so often while trying to mimic the rotation of the other. There is no clear leader of the rotation, but it seems they may take turns in leading. After bouncing back and forth for a while they both exit out the right side of frame.","The big, red triangle is minding his own business, happily pulsating and marching around the edges of the frame. The small, blue triangle comes in and notices the red triangle. Blue decides to mock Red by following closely behind and pulsating in a mimicking way. Red has a suspicion that somebody is behind and turns around, but Blue quickly turns away and pretends not to be paying attention. As soon as Red turns around and resumes, Blue continues to follow behind and imitate Red. After a while Red turns around again and Blue does the same as before, pretending not to notice until Red continues on again. Blue, following closely behind, doesn't notice when Red stops to check behind again causing Blue to run into the back of Red. Blue being scared of Red after being caught runs away off the left of the frame.","The big, red triangle and the small, blue triangle bounce around the sides of the frame whilst intermittently rotating. It appears that they are dancing in a waltz-type dance around the screen.","Red pushes Blue into their square room. Red blocks the door while Blue tries to find any way to slip out. Blue tries tickling Red to get him to move. Red finally pushes Blue into the corner and tries to talk to him, but blue escapes while Red is distracted. Red rushes out of the room to try to find where Blue went.",The two triangles bounce around the screen while rotating intermittently. There is a square in the middle of the screen. The triangles bounce between the sides of the screen as well as the square in the middle. 
